author_id,full_name,affiliation
1,Saurabh Kumar,"Stanford University, USA"
2,Alessandro Giuseppi,"Sapienza University of Rome, Department of Computer, Control and Management Engineering, Rome, Italy"
3,Xulu Zhang,"The Hong Kong Polytechnic University, Hong Kong"
4,Yang Cao,"Deakin University, Burwood, Australia"
5,Qi Chen,China National Center for Biotechnology Development
6,Yaran Chen,"University of Chinese Academy of Sciences, Beijing"
7,Jiacong Hu,"South China University of Technology, College of Automation Science and Engineering, China"
8,Aihua Zheng,"Anhui University, School of Artificial Intelligence, China"
9,Nuojia Xu,"University of Chinese Academy of Sciences, Beijing"
10,Alessandro Giuseppi,"Sapienza University of Rome, Department of Computer, Control and Management Engineering, Rome, Italy"
11,Xinyue Gao,"Anhui University, Hefei, China"
12,He Guan,"School of Artificial Intelligence, University of Chinese Academy of Sciences (UCAS), Beijing, China"
13,Yong Qiao Zhou,"Linyi University, China"
14,Hui Li,"Jinling Institute of Technology, China"
15,Xiao Huang,"College of Computer and Information Science, Southwest University, Chongqing, China"
16,Chu Li,"University of Science and Technology of China, Hefei, China"
17,Baoquan Ning,"Liupanshui Normal University, 553004, Liupanshui, P.R. China"
18,Lukasz Pawlik,"Kielce University of Technology, Kielce, Poland"
19,Zuqiang Long,"Hengyang Normal University, Hengyang, China"
20,Varghese Babu N,"School of Computer Science and Technology, Karunya Institute of Technology and Sciences, Coimbatore, India"
21,Chenxi Min,"Beijing University of Posts and Telecommunications, Beijing, China"
22,Xihui Wu,"Jiangnan University, Wuxi, Jiangsu, China"
23,Huang Huang,"Wenzhou University of Technology, Wenzhou, Zhejiang, 325000, China"
24,Liu-Yue Luo,"South China University of Technology, Guangzhou, 510006, China"
25,Wenjia Liu,"Shanghai Customs University, Shanghai, 201204, China"
26,Jinning Yang,"University of Chinese Academy of Sciences, Beijing, 101408, China"
27,Yifan Zou,"Harbin Engineering University, Harbin, 150001, Heilongjiang, China"
28,Yupei Guo,"Tokyo University of Science, Katsushika, Tokyo, Japan"
29,Yujun Cai,"Communication University of China, Chaoyang, Beijing, 100024, China"
30,Huijie Miao,"Academy of Military Science, Beijing, China"
31,Wenyu Zhang,"Xi’an Shiyou University, No.18, East Section of Electronic Second Road, Xi’an, 710054, Shanxi, China"
32,Hao Zhang,"Shanghai University, Shanghai, China "
33,Ting Wang,"Southern University of Science and Technology, Shenzhen, P.R. China"
34,Qiang Wen,"The Hong Kong University of Science and Technology, Hong Kong, China"
35,Mengya Han,"Wuhan University, Wuhan, 430072, China"
36,Xiangtian Ma,"Beijing Institute of Technology, Beijing, 100081, China"
37,Yuanfei Huang,"Beijing Normal University, Beijing, 100875, China"
38,Lei Wang,"Griffith University, Brisbane, Australia"
39,Sara Sarto,"University of Modena and Reggio Emilia, Modena, Italy"
40,Sara A. Al-Emadi,"Qatar Computing Research Institute, Hamad Bin Khalifa University, Doha, Qatar"
