journal_id,category_name
1,Computer Science
1,Artificial Intelligence
2,Computer Science
2,Artificial Intelligence
3,Computer Science
3,Artificial Intelligence
4,Computer Science
4,Artificial Intelligence
5,Artificial Intelligence
5,Computer Science
6,Computer Science
6,Artificial Intelligence
7,Computer Science
7,Software Engineering
8,Computer Science
8,Software Engineering
9,Computer Science
9,Software Engineering
10,Computer Science
10,Software Engineering
11,Computer Science
11,Software Engineering
12,Computer Science
12,Software Engineering
13,Computer Science
13,Hardware & Architecture
14,Computer Science
14,Hardware & Architecture
15,Computer Science
15,Hardware & Architecture
16,Computer Science
17,Hardware & Architecture
17,Computer Science
17,Hardware & Architecture
18,Robotics
19,Robotics
20,Robotics
21,Robotics
22,Robotics
23,Computer Science
23,Artificial Intelligence
24,Computer Science
24,Artificial Intelligence
