journal_id,year,jif,jif_5years,quartile,ranking
1,2024,6.4,6.4,Q1,34
2,2024,0.9,1,Q4,173
3,2024,5,5.2,Q1,45
4,2024,11.6,14.5,Q1,7
5,2024,2.3,2.4,Q3,116
6,2024,3.7,2.7,Q2,66
7,2024,17.3,N/A,Q1,1
8,2024,7.8,9.5,Q1,5
9,2024,7.7,6.8,Q1,6
10,2024,7,6.8,Q1,7
11,2024,1.2,1.3,Q3,98
12,2024,3.8,3.5,Q1,26
13,2024,3,1.3,Q2,20
14,2024,3.1,3.7,Q2,19
15,2024,0.5,0.5,Q4,57
16,2024,1.4,1.7,Q4,48
17,2024,2,2.3,Q3,39
18,2024,26.1,33.7,Q1,1
19,2024,6.8,7.7,Q1,7
20,2024,6.4,13.3,Q1,8
21,2024,0.9,1.2,Q4,41
22,2024,1.5,N/A,Q4,35
23,2024,65.3,70.8,Q1,1
24,2024,6.6,5,Q1,33
